epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.007,1.29744,2.59765,1.16094,0.97503,0.37915,0.8406,0.56089,0.96977,2.66698,0.99751,0.00028,0.00028,0.00028
2,264.545,0.93027,1.28289,0.97358,0.00589,0.96117,0.73962,0.52641,0.78363,2.86545,0.97642,0.000568516,0.000568516,0.000568516
3,376.997,0.92227,1.21791,1.01172,1,0.08056,0.84182,0.63437,0.79745,2.71557,0.98274,0.000845152,0.000845152,0.000845152
4,554.131,0.94065,1.15624,1.01226,0.98903,0.87563,0.96736,0.70573,0.96745,2.03286,1.04625,0.00110991,0.00110991,0.00110991
5,697.414,0.97919,1.04177,1.02278,0.97641,0.91262,0.95067,0.79817,0.7003,1.45913,0.95442,0.00136278,0.00136278,0.00136278
6,952.965,0.85884,0.94928,0.96934,0.96859,0.8982,0.97802,0.79051,0.75412,1.29768,1.0014,0.00160378,0.00160378,0.00160378
7,1083.55,0.88045,0.93246,0.98596,0.95295,0.90291,0.94251,0.75461,0.70479,1.00278,0.99864,0.0017624,0.0017624,0.0017624
8,1209.86,0.89038,0.88168,0.99043,0.98166,0.90291,0.95501,0.73544,0.81252,0.96264,1.01396,0.0017228,0.0017228,0.0017228
9,1326.74,0.87719,0.8333,0.99078,0.98359,0.8835,0.95977,0.78898,0.68204,0.83408,0.95541,0.0016832,0.0016832,0.0016832
10,1553.6,0.91098,0.86015,1.02025,0.98002,0.96117,0.9731,0.78437,0.726,0.78148,0.97863,0.0016436,0.0016436,0.0016436
11,1863.45,0.85085,0.78623,0.97103,0.97432,0.97087,0.98092,0.77654,0.78275,0.7354,0.99582,0.001604,0.001604,0.001604
12,2060.86,0.83995,0.74249,0.96128,0.97829,0.96117,0.98461,0.77869,0.7253,0.73943,0.99538,0.0015644,0.0015644,0.0015644
13,2288.07,0.8061,0.73521,0.97015,0.98519,0.95146,0.98424,0.81194,0.65057,0.62995,0.94761,0.0015248,0.0015248,0.0015248
14,2501.31,0.80487,0.70072,0.97743,0.97916,0.95146,0.98838,0.8234,0.60833,0.61878,0.93152,0.0014852,0.0014852,0.0014852
15,2666.35,0.80289,0.70306,0.96455,0.9713,0.9856,0.98508,0.82075,0.63565,0.57668,0.94,0.0014456,0.0014456,0.0014456
16,2805.46,0.78156,0.67044,0.95706,0.98984,0.96117,0.98099,0.80971,0.67925,0.56063,0.94438,0.001406,0.001406,0.001406
17,2917.8,0.77423,0.66921,0.95745,0.98024,0.96339,0.98216,0.84141,0.61911,0.54819,0.94124,0.0013664,0.0013664,0.0013664
18,3087.94,0.78094,0.64524,0.97246,0.98773,0.97087,0.98961,0.84248,0.63195,0.54892,0.95377,0.0013268,0.0013268,0.0013268
19,3205.81,0.75293,0.62078,0.9594,0.97554,0.97087,0.98887,0.8598,0.56484,0.52384,0.92449,0.0012872,0.0012872,0.0012872
20,3311.13,0.72719,0.61062,0.94275,0.96928,0.98058,0.9885,0.87499,0.53279,0.47527,0.89736,0.0012476,0.0012476,0.0012476
21,3429.12,0.72593,0.58272,0.93891,0.94183,0.99029,0.98718,0.85885,0.56217,0.48309,0.91838,0.001208,0.001208,0.001208
22,3532.04,0.71856,0.58513,0.93252,0.96266,0.94175,0.98331,0.85604,0.54273,0.50182,0.90098,0.0011684,0.0011684,0.0011684
23,3672.71,0.70326,0.56263,0.94593,0.96365,0.97087,0.98395,0.85637,0.54474,0.46207,0.90154,0.0011288,0.0011288,0.0011288
24,3774.3,0.72026,0.56274,0.93913,0.98762,0.99029,0.98578,0.85515,0.54595,0.46051,0.90419,0.0010892,0.0010892,0.0010892
25,3879.8,0.702,0.56237,0.93879,0.93134,0.99029,0.98263,0.83601,0.54308,0.4822,0.90221,0.0010496,0.0010496,0.0010496
26,3985.46,0.67719,0.52695,0.92634,0.98048,0.97548,0.98769,0.86124,0.5088,0.44652,0.89096,0.00101,0.00101,0.00101
27,4094.21,0.67552,0.52641,0.92909,0.96348,0.98058,0.98726,0.87214,0.50034,0.4498,0.88472,0.0009704,0.0009704,0.0009704
28,4197.11,0.69101,0.55576,0.92273,0.98329,0.98058,0.98707,0.87089,0.50047,0.43379,0.88667,0.0009308,0.0009308,0.0009308
29,4303.07,0.63806,0.5231,0.89514,0.97137,0.99029,0.9865,0.86308,0.5249,0.42584,0.88844,0.0008912,0.0008912,0.0008912
30,4404.47,0.64911,0.50679,0.91844,0.99019,0.97963,0.98789,0.87117,0.49876,0.42723,0.87998,0.0008516,0.0008516,0.0008516
31,4506.78,0.63448,0.48975,0.91027,0.9645,0.97087,0.98886,0.87323,0.51254,0.41044,0.88332,0.000812,0.000812,0.000812
