set_id,pfeil1,farbe1,pfeil2,farbe2,pfeil3,farbe3,total_score
set_001,1,Rot,2,Grün,1,,1
set_002,19,Rot,1,,1,,19
set_003,1,Rot,1,,1,,1
set_004,18,Rot,1,,1,,18
set_005,1,Rot,1,,1,,1
set_006,5,Rot,1,,1,,5
set_007,11,Rot,1,,1,,11
set_008,5,Rot,,,,,5
set_009,18,Rot,,,,,18
set_010,1,Rot,,,,,1
set_011,20,Rot,,,,,20
set_012,10,Rot,,,,,10
set_013,4,Rot,,,,,4
set_014,12,Rot,,,,,12
set_015,20,Rot,,,,,20
set_016,5,Rot,,,,,5
set_017,11,Rot,,,,,11
set_018,17,Rot,,,,,17
set_019,1,Rot,,,,,1
set_020,5,Rot,,,,,5
set_021,4,Rot,,,,,4
set_022,19,Rot,,,,,19
set_023,18,Rot,,,,,18
set_024,18,Rot,,,,,18
set_025,13,Rot,,,,,13
set_026,4,Rot,,,,,4
set_027,17,Rot,,,,,17
set_028,1,Rot,,,,,1
set_029,18,Rot,,,,,18
set_030,17,Rot,,,,,17
set_031,7,Rot,,,,,7
set_032,Miss,Rot,,,,,0
set_033,15,Rot,,,,,15
set_034,2,Rot,,,,,2
set_035,5,Rot,,,,,5
set_036,19,Rot,,,,,19
set_037,4,Rot,,,,,4
set_038,7,Rot,,,,,7
set_039,6,Rot,,,,,6
set_040,5,Rot,,,,,5
set_041,1,Rot,,,,,1
set_042,Miss,Rot,,,,,0
set_043,8,Rot,,,,,8
set_044,Miss,Rot,,,,,0
set_045,2,Rot,,,,,2
set_046,16,Rot,,,,,16
set_047,4,Rot,,,,,4
set_048,6,Rot,,,,,6
set_049,12,Rot,,,,,12
set_050,13,Rot,,,,,13
set_051,8,Rot,,,,,8
set_052,Miss,Rot,,,,,0
set_053,11,Rot,,,,,11
set_054,14,Rot,,,,,14
set_055,14,Rot,,,,,14
set_056,14,Rot,,,,,14
set_057,14,Rot,,,,,14
set_058,6,Rot,,,,,6
set_059,Miss,Rot,,,,,0
set_060,6,Rot,,,,,6
set_061,12,Rot,,,,,12
set_062,Miss,Rot,,,,,0
set_063,6,Rot,,,,,6
set_064,6,Rot,,,,,6
set_065,12,Rot,,,,,12
set_066,12,Rot,,,,,12
set_067,Miss,Rot,,,,,0
set_068,9,Rot,,,,,9
set_069,6,Rot,,,,,6
set_070,17,Rot,,,,,17
set_071,11,Rot,,,,,11
set_072,Miss,Rot,,,,,0
set_073,Miss,Rot,,,,,0
set_074,Miss,Rot,,,,,0
set_075,8,Rot,,,,,8
set_076,15,Rot,,,,,15
set_077,4,Rot,,,,,4
set_078,14,Rot,,,,,14
set_079,1,Rot,,,,,1
set_080,2,Rot,,,,,2
set_081,10,Rot,,,,,10
set_082,18,Rot,,,,,18
set_083,13,Rot,,,,,13
set_084,19,Rot,,,,,19
set_085,18,Rot,,,,,18
set_086,10,Rot,,,,,10
set_087,Bull,Rot,,,,,50
set_088,2,Rot,,,,,2
set_089,17,Rot,,,,,17
set_090,3,Rot,,,,,3
set_091,Bull,Rot,,,,,50
set_092,10,Rot,Miss,Grün,,,10
set_093,1,Rot,,,,,1
set_094,17,Rot,,,,,17
